fold,val_start,val_end,n_train,n_val,lgbm_mae,lgbm_rmse,lgbm_tail_mae,baseline_mae,baseline_rmse,baseline_tail_mae
0,2023-01-08,2023-02-07,17520,720,25.451,30.331,30.444,56.222,70.773,70.075
1,2023-02-07,2023-03-09,18240,720,14.657,18.07,14.722,27.556,38.67,54.712
2,2023-03-09,2023-04-08,18960,720,14.688,18.226,20.761,37.293,47.78,60.6
3,2023-04-08,2023-05-08,19680,720,10.42,13.698,12.557,26.94,39.436,58.013
4,2023-05-08,2023-06-07,20400,720,13.874,19.186,20.076,23.223,34.846,42.599
5,2023-06-07,2023-07-07,21120,720,13.662,30.148,33.334,25.572,42.329,64.232
6,2023-07-07,2023-08-06,21840,720,11.587,15.289,16.05,28.032,47.482,39.966
7,2023-08-06,2023-09-05,22560,720,12.171,17.335,24.29,28.82,40.637,65.103
8,2023-09-05,2023-10-05,23280,720,18.181,31.819,44.318,31.124,53.077,79.382
9,2023-10-05,2023-11-04,24000,720,13.978,18.345,15.792,36.789,46.096,36.456
10,2023-11-04,2023-12-04,24720,720,15.499,20.0,23.041,38.22,50.145,78.403
11,2023-12-04,2024-01-03,25440,720,14.813,18.952,15.568,32.868,42.595,48.813
12,2024-01-03,2024-02-02,26160,720,13.863,17.871,13.258,33.62,43.614,47.148
13,2024-02-02,2024-03-03,26880,720,7.499,9.974,10.17,20.366,26.289,38.984
14,2024-03-03,2024-04-02,27600,720,10.188,13.49,18.418,18.611,25.246,37.582
15,2024-04-02,2024-05-02,28320,720,13.247,17.545,24.928,31.946,41.507,53.534
16,2024-05-02,2024-06-01,29040,720,12.351,16.485,16.825,31.229,41.753,51.411
17,2024-06-01,2024-07-01,29760,720,16.242,20.607,18.693,22.773,30.881,27.946
18,2024-07-01,2024-07-31,30480,720,15.108,19.781,18.604,28.567,37.558,35.034
19,2024-07-31,2024-08-30,31200,720,12.774,17.178,20.233,30.521,42.698,57.088
20,2024-08-30,2024-09-29,31920,720,16.405,30.977,41.099,31.902,54.38,57.135
21,2024-09-29,2024-10-29,32640,720,13.818,19.118,26.583,34.751,46.317,52.464
22,2024-10-29,2024-11-28,33360,720,22.187,40.887,66.023,34.871,68.869,103.121
23,2024-11-28,2024-12-28,34080,720,24.388,55.437,104.98,72.779,126.333,172.382
24,2024-12-28,2025-01-27,34800,720,22.818,38.849,70.844,54.505,75.622,119.888
25,2025-01-27,2025-02-26,35520,720,14.501,19.592,26.535,40.239,50.66,67.148
26,2025-02-26,2025-03-28,36240,720,20.566,26.833,32.374,34.306,46.158,57.618
27,2025-03-28,2025-04-27,36960,720,13.895,18.794,19.386,27.792,37.119,39.033
28,2025-04-27,2025-05-27,37680,720,12.837,19.142,25.564,28.65,46.374,66.221
29,2025-05-27,2025-06-26,38400,720,14.776,19.389,25.371,26.854,37.28,41.484
