feature,importance
price_lag_24h,2414741563.98452
price_rolling_mean_7d,687179567.8605499
residual_load_mw,570522593.0848312
price_lag_168h,147966567.76818085
wind_forecast_mw,114052771.62695694
renewable_share,93316079.08466339
price_lag_48h,87283134.89781189
price_rolling_std_7d,79777058.64395523
month,59864384.4661293
day_of_week,49499350.45285034
load_forecast_mw,20947914.0135231
solar_forecast_mw,15063795.430553436
wind_solar_sum_mw,13645147.277935028
hour,8252866.635028839
quarter,5912768.422393799
is_weekend,913201.3539886475
